"A","081002M     ","AWCY","BROTHER CINTAS Y ETIQUETAS         ","CINTA NEGRO SOBRE BLANCO       ","62MM X 30.4M                       ",0000000000000280.44,"DK2205              ",000000.40,"0012502611721",0000.09,0000.11,0000.12," ",0000000000000218.10,"O","Y"," ","N","LABELS","LABL","1022","Y"," ","            ",00000049
"A","081004N     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","UNIDAD DE TAMBOR RENDIMIENTO   ","12.000 PAGINAS                     ",0000000000002936.62,"DR360               ",000000.84,"0012502619413",0000.18,0000.11,0000.36," ",0000000000002049.04,"O","N"," ","N","L-SUPL","SUPL","1010","Y"," ","            ",00000000
"A","081004O     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","TONER BROTHER NEGRO            ","PARA HL2140 HL2170                 ",0000000000001665.00,"TN330               ",000000.90,"0012502619390",0000.36,0000.20,0000.12," ",0000000000001025.21,"O","N"," ","N","L-SUPL","TONR","1010","Y"," ","            ",00000000
"A","081004P     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","TONER NEGRO RENDIMIENTO        ","2600 PAGINAS                       ",0000000000002238.47,"TN360               ",000001.10,"0337180010094",0000.36,0000.19,0000.12," ",0000000000001499.40,"O","N"," ","N","L-SUPL","TONR","1010","Y"," ","            ",00000000
"A","081004X     ","AWCY","BROTHER CINTAS Y ETIQUETAS         ","CINTA NEGRO SOBRE BLANCO       ","29MM X 30.4M                       ",0000000000000198.24,"DK2210              ",000000.20,"0012502611714",0000.05,0000.11,0000.11," ",0000000000000153.86,"O","Y"," ","N","LABELS","LABL","1022","Y"," ","            ",00000006
"A","0810054     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","CARTUCHO TINTA AMARILLO STD    ","REND 325 PAGINAS                   ",0000000000000475.74,"LC61Y               ",000000.11,"0012502620914",0000.11,0000.06,0000.03," ",0000000000000318.43,"O","N"," ","N","I-SUPL","INK ","1010","Y"," ","            ",00000000
"A","0810055     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","CARTUCHO TINTA MAGENTA         ","REND 325 PAGINAS                   ",0000000000000475.74,"LC61M               ",000000.05,"0012502620891",0000.13,0000.03,0000.09," ",0000000000000318.43,"O","N"," ","N","I-SUPL","INK ","1010","Y"," ","            ",00000000
"A","0810056     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","CARTUCHO CIAN STD RENDIMIENTO  ","325 PAGINAS                        ",0000000000000514.76,"LC61C               ",000000.05,"0012502620860",0000.12,0000.09,0000.02," ",0000000000000318.43,"O","N"," ","N","I-SUPL","INK ","1010","Y"," ","            ",00000000
"A","0810058     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","CARTUCHO TINTANEGRO STD        ","REND 450 PAGINAS                   ",0000000000000941.12,"LC61BK              ",000000.11,"0012502620884",0000.11,0000.07,0000.03," ",0000000000000623.90,"O","N"," ","N","I-SUPL","INK ","1010","Y"," ","            ",00000000
"A","081006D     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","TONER NEGRO RENDIMIENTO        ","3000 PAGINAS                       ",0000000000002316.87,"TN620               ",000001.06,"0012502622314",0000.20,0000.15,0000.36," ",0000000000001723.36,"O","N"," ","N","L-SUPL","TONR","1010","Y"," ","            ",00000000
"A","0810071     ","AWCY","BROTHER CINTAS Y ETIQUETAS         ","ETIQUETAS BLANCAS 38MM X 90.3MM","ROLLO DE 400 ETIQUETAS             ",0000000000000239.34,"DK1208              ",000000.30,"0012502611646",0000.06,0000.12,0000.12," ",0000000000000186.15,"O","Y"," ","N","LABELS","LABL","1022","Y"," ","            ",00000009
"A","081008J     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","TONER NEGRO RENDIMIENTO        ","1200 PAGINAS                       ",0000000000001334.48,"TN420               ",000000.78,"0012502626763",0000.11,0000.20,0000.37," ",0000000000000990.33,"O","N"," ","N","L-SUPL","TONR","1010","Y"," ","            ",00000000
"A","081008K     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","TONER NEGRO RENDIMIENTO        ","2600 PAGINAS                       ",0000000000002811.26,"TN450               ",000000.69,"0012502626770",0000.37,0000.11,0000.20," ",0000000000001723.36,"O","Y"," ","N","L-SUPL","TONR","1010","Y"," ","            ",00000001
"A","081008L     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","UNIDAD DE TAMBOR RENDIMIENTO   ","12.000 PAGINAS                     ",0000000000002269.04,"DR420               ",000000.70,"0012502626756",0000.11,0000.22,0000.36," ",0000000000001499.40,"O","N"," ","N","L-SUPL","SUPL","1010","Y"," ","            ",00000000
"A","081008M     ","0300","BROTHER INTERNATIONAL DE MEXICO    ","CARTUCHO TINTA NEGRO XL        ","REND 600 PAGINAS                   ",0000000000000556.21,"LC75BK              ",000000.06,"0012502627302",0000.08,0000.02,0000.14," ",0000000000000372.47,"O","N"," ","N","I-SUPL","INK ","1010","Y"," ","            ",00000000
